client_id,code,name,chi_name,phone_no,address,chi_address
3,HAN,Hankow Road,漢口道,23671120 ,Portion of Ground Floor of Kaiseng Commercial Centre 4-6 Hankow Road Tsimshatsui Kowloon,九龍尖沙咀漢口道4-6號騏生商業中心地下
3,HIT,Hilton Tower,希爾頓大廈,23679532 ,Portion of Shop C G/F Hilton Tower 96 Granville Road Tsimshatsui Kowloon,九龍尖沙咀加連威老道96號希爾頓大廈地下C舖(部份)
3,CR,Cameron Road,金馬倫道,27233802 ,Shop 5 G/F & Basement Hang Seng Bank Building 18 Carnarvon Road Tsimshatsui Kowloon,九龍尖沙咀金馬倫道18號恆生銀行大廈地下及地庫5號舖
3,K11,K11,K11,31224436 ,Shop No. B108 on Basement 1 K11 Tsimshatsui Kowloon,九龍尖沙咀K11地庫B108號舖
3,OLP,Olympian City,奧海城,27404217 ,Shop 108 1/F. Olympian City 2 18 Hoi Ting Road Kowloon,九龍海庭道18號奧海城二期一樓108號
3,OCS3,Olympian City 3,奧海城3期,31949077 ,Shop Nos. UG91 & UG92 UG/F Olympian City 3 1 Hoi Wang Road Kowloon,九龍海泓道1號奧海城3期高層地下91及92號舖
3,CHC,China Hong Kong City,中港城,27157233,UG/F 43D Floor UG China Hong Kong City (UG & PL) 33 Canton Road Tsim Sha Tsui,九龍尖沙咀廣東道33號中港城高層地下43D號舖
3,HBC,Harbour City,海港城,21171093,Shop 3302 Level 3 Gateway Arcade Harbour City Tsimshatsui Kowloon,九龍尖沙咀廣東道7-23號海港城港威中心三樓3302號舖
3,MK,Mongkok ,旺角,23966637 ,Shop No.C1 G/F. & Whole of Mezzanine Floor Wu Sang House 655 Nathan Road Mongkok KLN,九龍旺角彌敦道655號胡社生行地下及C1
3,LHP,Langham Place,朗豪坊,35149285 ,Shop 35b in Basement 2 Langham Place 8 Argyle Street Mongkok Kowloon,九龍旺角亞皆老街8號朗豪坊低層2樓35b號舖
3,JOR,Jordan,佐敦,27351386 ,Shop No. A and B on G/F and A portion of the Roof Cumberland House 227 Nathan Road No. 38 Pilkem Street Kowloon,九龍庇利金街38號彌敦道227號金百龍大廈部分天台及地下A舖及B舖
3,ALB,Alhambra Building,平安大廈,26563528 ,九龍彌敦道383-389C號平安大廈地下9 號,ShopNos.9G/F.AlhambraBuilding383-389CNathanRoadKowloon
3,NAT,Nathan Road,彌敦道,27837933,Shop on G/F Golden Dragon Commercial Building No.522 Nathan Road Kowloon,九龍彌敦道522號金龍商業大厦地下
3,AUS,Austin Road,柯士甸道,27368377,Shop on G/F No.114 Austin Road Kowloon Hong Kong,九龍柯士甸道114號地下
